Source	Target
784	81
784	796
784	931
81	892
892	979
706	82
706	811
509	83
509	527
509	701
298	784
298	84
298	600
298	601
298	350
298	479
298	469
366	84
366	507
366	642
366	805
504	84
504	579
504	740
504	978
85	965
160	85
160	271
160	963
160	534
160	803
160	881
300	509
300	85
300	638
300	668
300	642
372	85
372	853
372	972
372	627
372	793
692	85
692	992
692	738
828	86
828	992
412	87
412	650
412	591
412	707
525	87
525	693
525	678
645	87
645	716
704	87
292	88
292	806
292	452
292	710
572	88
572	949
218	374
218	89
218	740
218	631
218	649
218	712
231	673
231	89
232	888
232	778
232	89
232	296
700	89
210	286
210	90
210	402
210	417
91	914
214	91
214	744
214	879
214	532
214	456
214	990
664	91
664	970
664	990
858	91
858	869
858	958
251	92
360	93
360	969
360	802
360	479
360	491
772	93
774	93
112	692
112	94
112	894
112	885
233	806
233	94
233	310
243	99
243	785
243	94
243	301
243	268
243	305
271	94
271	925
271	295
271	460
271	551
271	457
271	331
317	593
317	94
317	573
538	747
538	94
538	695
538	571
538	586
593	94
593	710
787	94
787	874
95	981
544	95
544	556
696	95
696	877
909	95
104	96
104	147
104	286
104	770
104	797
104	888
104	992
104	765
104	361
379	97
379	601
379	891
424	97
424	641
424	939
761	97
761	827
492	778
492	98
492	603
492	718
492	947
492	495
589	98
200	99
200	648
200	304
200	727
100	942
100	891
100	907
101	251
101	154
101	159
101	411
101	475
101	500
101	640
101	853
101	932
101	452
101	726
154	997
154	436
154	481
154	654
159	589
159	448
159	533
411	770
411	797
411	744
411	677
411	714
411	558
411	651
411	451
411	983
475	613
475	879
475	979
475	776
475	667
500	909
500	673
500	710
500	873
640	806
640	970
853	883
932	997
102	325
102	915
102	768
102	715
102	423
102	907
325	789
103	579
103	786
103	979
103	568
147	640
147	864
147	494
286	831
770	916
797	976
105	525
105	853
105	806
105	811
105	896
105	433
811	943
896	964
106	772
106	500
106	239
106	997
106	348
239	509
239	828
239	656
239	445
239	845
107	372
107	872
107	971
107	982
108	870
108	747
108	180
108	717
108	308
109	120
