N	Time	Hours	Freq(kHz)	Amp	KK	R(km)	AntAz(grad)	AntEl(grad)	NORAD	Name
1	08:43:09.638	8.719344	155591	0.038422	0.879733	489.661114	5.039799	-6.123316	46553	STARLINK-1664
2	08:43:10.591	8.719609	155591	0.046854	0.916324	488.237223	5.348784	-5.303342	46553	STARLINK-1664
3	08:43:10.666	8.719629	155755	0.049890	0.922055	487.881949	5.438452	-5.246755	46553	STARLINK-1664
4	08:43:11.528	8.719869	155591	0.096572	0.970502	486.971721	5.598037	-4.539828	46553	STARLINK-1664
5	08:43:11.606	8.719891	155591	0.089368	0.961159	486.739298	5.633941	-4.478109	46553	STARLINK-1664
6	08:43:12.705	8.720196	155755	0.129132	0.976128	485.259615	5.958399	-3.564943	46553	STARLINK-1664
7	08:43:12.749	8.720208	155755	0.111073	0.974290	485.098117	6.021540	-3.529522	46553	STARLINK-1664
8	08:43:13.861	8.720517	155919	0.118055	0.976507	483.904152	6.313363	-2.664426	46553	STARLINK-1664
9	08:43:14.727	8.720758	155919	0.092284	0.969253	482.908326	6.565214	-2.041675	46553	STARLINK-1664
10	08:43:14.772	8.720770	155919	0.091480	0.969998	482.761734	6.608315	-2.028323	46553	STARLINK-1664
11	08:43:15.621	8.721006	156083	0.063074	0.947489	481.943872	6.847317	-1.299230	46553	STARLINK-1664
12	08:43:16.557	8.721266	156247	0.012357	0.507854	480.950553	7.150901	-0.692813	46553	STARLINK-1664
13	08:43:17.320	8.721478	156083	0.029259	0.818365	480.486834	7.313519	0.361290	46553	STARLINK-1664
14	08:43:18.190	8.721719	156247	0.073281	0.959713	479.841287	7.618737	0.701967	46553	STARLINK-1664
15	08:43:18.973	8.721937	156247	0.111308	0.975198	479.328069	7.825950	1.178211	46553	STARLINK-1664
16	08:43:19.023	8.721951	156247	0.110674	0.974149	479.184246	7.876599	1.214962	46553	STARLINK-1664
17	08:43:19.753	8.722154	156411	0.158906	0.983322	478.849580	8.091385	1.792349	46553	STARLINK-1664
18	08:43:21.493	8.722637	156575	0.299554	0.988199	478.024179	8.615591	3.190102	46553	STARLINK-1664
19	08:43:22.496	8.722916	156575	0.279018	0.991172	477.761921	8.909365	4.100106	46553	STARLINK-1664
20	08:43:22.561	8.722934	156575	0.271483	0.991062	477.630248	8.939655	4.165785	46553	STARLINK-1664
21	08:43:23.281	8.723134	156739	0.301218	0.990797	477.430613	9.150236	4.801101	46553	STARLINK-1664
22	08:43:24.379	8.723439	156739	0.246375	0.988741	477.543779	9.474221	5.737506	46553	STARLINK-1664
23	08:43:24.423	8.723451	156903	0.246818	0.989881	477.239738	9.490609	5.767214	46553	STARLINK-1664
24	08:43:25.274	8.723687	156903	0.207587	0.987105	477.300925	9.752243	6.523391	46553	STARLINK-1664
25	08:43:26.279	8.723966	157067	0.117088	0.976654	477.350571	10.017057	7.359310	46553	STARLINK-1664
26	08:43:27.872	8.724409	157067	0.062728	0.930207	477.648493	10.444733	8.574640	46553	STARLINK-1664
27	08:43:27.932	8.724426	157067	0.052198	0.889168	477.569324	10.489936	8.613198	46553	STARLINK-1664
28	08:43:28.673	8.724631	157231	0.051361	0.894553	477.782584	10.755058	9.124147	46553	STARLINK-1664
29	08:43:29.503	8.724862	157231	0.026853	0.684338	478.181124	10.992327	9.558195	46553	STARLINK-1664
30	08:43:29.578	8.724883	157231	0.020962	0.495665	478.026700	11.023457	9.438469	46553	STARLINK-1664
31	08:43:30.391	8.725109	157395	0.017131	0.419313	478.611514	11.158154	9.790508	46553	STARLINK-1664
32	08:43:30.435	8.725121	157231	0.015170	0.368446	478.717789	11.261605	10.098157	46553	STARLINK-1664
1	08:44:37.819	8.743839	156252	0.019727	0.743720	593.115734	7.891319	-10.517316	46556	STARLINK-1676
2	08:44:38.059	8.743905	156252	0.019818	0.730452	592.524132	7.884399	-10.475281	46556	STARLINK-1676
3	08:44:38.363	8.743990	156252	0.020810	0.768547	591.784380	7.870559	-10.265911	46556	STARLINK-1676
4	08:44:38.630	8.744064	156252	0.023013	0.779589	591.248642	7.870559	-10.354339	46556	STARLINK-1676
5	08:44:38.880	8.744133	156252	0.022839	0.794661	590.621371	7.856722	-10.199468	46556	STARLINK-1676
6	08:44:39.484	8.744301	156252	0.026704	0.814213	589.245210	7.835970	-9.758014	46556	STARLINK-1676
7	08:44:39.732	8.744370	156252	0.028829	0.834331	588.610875	7.822138	-9.579004	46556	STARLINK-1676
8	08:44:39.988	8.744441	156252	0.027936	0.831542	588.140310	7.815223	-9.535049	46556	STARLINK-1676
9	08:44:40.226	8.744507	156252	0.030899	0.849033	587.585615	7.815223	-9.368071	46556	STARLINK-1676
10	08:44:40.795	8.744665	156252	0.045152	0.918313	586.384372	7.808309	-9.050611	46556	STARLINK-1676
11	08:44:41.026	8.744729	156252	0.036117	0.867122	585.754111	7.787569	-8.794574	46556	STARLINK-1676
12	08:44:41.226	8.744785	156252	0.042748	0.903509	585.383758	7.780657	-8.695917	46556	STARLINK-1676
13	08:44:41.478	8.744855	156252	0.041575	0.909374	584.812318	7.773745	-8.522306	46556	STARLINK-1676
14	08:44:41.733	8.744926	156252	0.037249	0.897538	584.369403	7.766834	-8.421546	46556	STARLINK-1676
15	08:44:42.018	8.745005	156252	0.048681	0.922405	583.872502	7.773745	-8.194417	46556	STARLINK-1676
16	08:44:42.246	8.745068	156252	0.041558	0.920425	583.334992	7.759924	-8.108651	46556	STARLINK-1676
17	08:44:42.465	8.745129	156252	0.047912	0.927808	582.743977	7.746105	-7.841807	46556	STARLINK-1676
18	08:44:43.078	8.745299	156252	0.064883	0.947382	581.631743	7.732288	-7.450006	46556	STARLINK-1676
19	08:44:43.343	8.745373	156252	0.050507	0.936472	581.093341	7.739196	-7.267361	46556	STARLINK-1676
20	08:44:43.613	8.745448	156252	0.072296	0.953812	580.559957	7.711567	-7.070869	46556	STARLINK-1676
21	08:44:43.869	8.745519	156252	0.060770	0.937858	580.066476	7.732288	-6.842139	46556	STARLINK-1676
22	08:44:44.094	8.745582	156252	0.078997	0.963052	579.584046	7.704661	-6.702935	46556	STARLINK-1676
23	08:44:44.352	8.745653	156252	0.086811	0.962780	579.033069	7.697755	-6.529851	46556	STARLINK-1676
24	08:44:44.596	8.745721	156252	0.085439	0.965915	578.674407	7.690850	-6.305631	46556	STARLINK-1676
25	08:44:45.237	8.745899	156252	0.110895	0.971912	577.403709	7.670139	-5.820859	46556	STARLINK-1676
26	08:44:45.644	8.746012	156252	0.120828	0.973528	576.766038	7.656335	-5.512283	46556	STARLINK-1676
27	08:44:45.859	8.746072	156252	0.130061	0.976621	576.255395	7.649433	-5.352152	46556	STARLINK-1676
28	08:44:46.076	8.746132	156252	0.087015	0.964302	575.909030	7.656335	-5.178192	46556	STARLINK-1676
29	08:44:46.435	8.746232	156252	0.147032	0.979347	575.294330	7.628732	-4.904965	46556	STARLINK-1676
30	08:44:46.680	8.746300	156252	0.151492	0.980028	574.833992	7.621833	-4.727315	46556	STARLINK-1676
31	08:44:47.017	8.746394	156252	0.154766	0.981413	574.343758	7.608036	-4.483289	46556	STARLINK-1676
32	08:44:47.247	8.746457	156252	0.172709	0.983824	573.936679	7.601139	-4.294835	46556	STARLINK-1676
33	08:44:47.498	8.746527	156252	0.164459	0.981166	573.474725	7.594242	-4.108977	46556	STARLINK-1676
34	08:44:47.871	8.746631	156252	0.190952	0.982913	572.862767	7.587345	-3.826167	46556	STARLINK-1676
35	08:44:48.421	8.746784	156252	0.221645	0.986407	571.951430	7.559765	-3.423304	46556	STARLINK-1676
36	08:44:48.841	8.746900	156252	0.221111	0.985681	571.346397	7.539086	-3.093707	46556	STARLINK-1676
37	08:44:49.050	8.746958	156252	0.244954	0.986753	571.057559	7.545978	-2.942401	46556	STARLINK-1676
38	08:44:49.419	8.747061	156252	0.217330	0.985081	570.355666	7.532194	-2.660840	46556	STARLINK-1676
39	08:44:49.687	8.747135	156252	0.256985	0.987034	570.031361	7.518412	-2.489168	46556	STARLINK-1676
40	08:44:49.959	8.747211	156252	0.295745	0.987801	569.695459	7.511521	-2.295388	46556	STARLINK-1676
41	08:44:50.201	8.747278	156252	0.288871	0.986959	569.314258	7.504631	-2.123451	46556	STARLINK-1676
42	08:44:50.478	8.747355	156252	0.243100	0.990230	568.896616	7.431577	-1.926829	46556	STARLINK-1676
43	08:44:50.520	8.747367	156116	0.141415	0.979960	568.812745	7.511521	-1.883307	46556	STARLINK-1676
44	08:44:50.876	8.747466	156252	0.291178	0.988507	568.362772	7.477078	-1.660246	46556	STARLINK-1676
45	08:44:51.162	8.747545	156252	0.298505	0.988278	567.848302	7.463304	-1.453538	46556	STARLINK-1676
46	08:44:51.298	8.747583	156252	0.270346	0.990782	567.808803	7.417811	-1.378715	46556	STARLINK-1676
47	08:44:51.566	8.747657	156116	0.169062	0.986232	567.485672	7.431577	-1.190998	46556	STARLINK-1676
48	08:44:51.608	8.747669	156252	0.304095	0.988280	567.263423	7.449533	-1.161926	46556	STARLINK-1676
49	08:44:51.785	8.747718	156252	0.296282	0.990621	567.235849	7.404047	-1.032007	46556	STARLINK-1676
50	08:44:52.015	8.747782	156116	0.297376	0.990378	566.933931	7.397166	-0.877202	46556	STARLINK-1676
51	08:44:52.084	8.747801	156252	0.306591	0.988617	566.730914	7.428880	-0.809689	46556	STARLINK-1676
52	08:44:52.366	8.747879	156116	0.312021	0.990446	566.397182	7.383405	-0.652975	46556	STARLINK-1676
53	08:44:52.440	8.747900	156252	0.324912	0.988506	566.175857	7.415115	-0.579707	46556	STARLINK-1676
54	08:44:52.669	8.747964	156252	0.346780	0.988964	565.891060	7.408233	-0.434214	46556	STARLINK-1676
55	08:44:52.922	8.748034	156252	0.357119	0.988831	565.676800	7.394470	-0.271592	46556	STARLINK-1676
56	08:44:53.183	8.748106	156252	0.333945	0.988871	565.287363	7.387590	-0.073868	46556	STARLINK-1676
57	08:44:53.494	8.748193	156252	0.363469	0.988554	564.913821	7.373831	0.100148	46556	STARLINK-1676
58	08:44:53.703	8.748251	156252	0.326923	0.989527	564.831254	7.349013	0.244237	46556	STARLINK-1676
59	08:44:54.034	8.748343	156116	0.348873	0.989939	564.385850	7.342136	0.475464	46556	STARLINK-1676
60	08:44:54.131	8.748370	156116	0.306054	0.988628	564.263805	7.353196	0.541130	46556	STARLINK-1676
61	08:44:54.305	8.748418	156252	0.286672	0.989370	564.153063	7.328384	0.654313	46556	STARLINK-1676
62	08:44:54.662	8.748517	156116	0.370343	0.989510	563.793385	7.314634	0.904616	46556	STARLINK-1676
63	08:44:54.974	8.748604	156116	0.322256	0.989004	563.456459	7.307760	1.097429	46556	STARLINK-1676
64	08:44:55.057	8.748627	156116	0.319453	0.988828	563.215410	7.311941	1.164167	46556	STARLINK-1676
65	08:44:55.620	8.748783	156252	0.315001	0.988625	562.574437	7.291321	1.558828	46556	STARLINK-1676
66	08:44:56.105	8.748918	156116	0.335623	0.988663	562.313437	7.266527	1.902746	46556	STARLINK-1676
67	08:44:56.200	8.748944	156116	0.286424	0.988028	562.062576	7.270706	1.947187	46556	STARLINK-1676
68	08:44:56.453	8.749015	156252	0.304173	0.988323	561.769725	7.256966	2.130053	46556	STARLINK-1676
69	08:44:56.751	8.749097	156252	0.288678	0.988256	561.509703	7.243227	2.340859	46556	STARLINK-1676
70	08:44:56.950	8.749153	156116	0.288753	0.988157	561.522216	7.232182	2.475902	46556	STARLINK-1676
71	08:44:57.260	8.749239	156116	0.274837	0.987847	561.230237	7.218447	2.697475	46556	STARLINK-1676
72	08:44:57.653	8.749348	156116	0.244919	0.987145	560.870051	7.197849	3.008504	46556	STARLINK-1676
73	08:44:57.716	8.749366	156252	0.274538	0.988111	560.724236	7.208891	3.031138	46556	STARLINK-1676
74	08:44:57.969	8.749436	156252	0.277794	0.987826	560.464003	7.202025	3.208920	46556	STARLINK-1676
75	08:44:58.132	8.749481	156252	0.238441	0.985898	560.582999	7.170393	3.381914	46556	STARLINK-1676
76	08:44:58.263	8.749517	156116	0.230187	0.987072	560.248123	7.181431	3.435888	46556	STARLINK-1676
77	08:44:58.496	8.749582	156252	0.207010	0.986715	560.060454	7.174568	3.625514	46556	STARLINK-1676
78	08:44:58.660	8.749628	156116	0.216220	0.986623	560.193091	7.149807	3.743422	46556	STARLINK-1676
79	08:44:58.718	8.749644	156116	0.202490	0.987393	559.911036	7.167705	3.766523	46556	STARLINK-1676
80	08:44:58.982	8.749717	156252	0.199061	0.984346	559.920405	7.129225	3.985824	46556	STARLINK-1676
81	08:44:59.625	8.749896	156116	0.195114	0.984309	559.418706	7.101791	4.513097	46556	STARLINK-1676
82	08:45:00.230	8.750064	156116	0.148358	0.980211	559.049525	7.074365	4.993944	46556	STARLINK-1676
83	08:45:00.308	8.750086	156116	0.142459	0.983683	558.854626	7.119679	5.033976	46556	STARLINK-1676
84	08:45:00.509	8.750141	156252	0.137412	0.979730	558.877459	7.081221	5.206843	46556	STARLINK-1676
85	08:45:00.819	8.750227	156116	0.141341	0.978690	558.751289	7.040095	5.467414	46556	STARLINK-1676
86	08:45:01.114	8.750309	156116	0.129976	0.975087	558.552110	7.046948	5.709895	46556	STARLINK-1676
87	08:45:01.665	8.750462	155980	0.115524	0.972736	558.303412	6.992138	6.165693	46556	STARLINK-1676
88	08:45:01.828	8.750508	156116	0.114350	0.973342	558.215560	6.981124	6.253370	46556	STARLINK-1676
89	08:45:02.121	8.750589	155980	0.102631	0.969087	558.404808	6.974276	6.450290	46556	STARLINK-1676
90	08:45:02.350	8.750653	155980	0.093594	0.960004	558.307884	6.967429	6.655085	46556	STARLINK-1676
91	08:45:02.569	8.750714	155980	0.087354	0.955454	558.248038	6.960582	6.847214	46556	STARLINK-1676
92	08:45:02.703	8.750751	155980	0.081270	0.954323	557.920939	6.937363	6.955587	46556	STARLINK-1676
93	08:45:02.938	8.750816	156116	0.073804	0.947450	558.140923	6.946890	7.133395	46556	STARLINK-1676
94	08:45:03.037	8.750844	155980	0.072730	0.934929	557.743355	6.909989	7.247504	46556	STARLINK-1676
95	08:45:03.212	8.750892	156116	0.072730	0.936233	558.090843	6.933200	7.383087	46556	STARLINK-1676
96	08:45:03.460	8.750961	155980	0.106021	0.964823	557.667001	6.919512	7.594576	46556	STARLINK-1676
97	08:45:03.742	8.751039	155980	0.064177	0.923089	557.927674	6.905827	7.740477	46556	STARLINK-1676
98	08:45:04.010	8.751114	155980	0.052107	0.896204	557.753233	6.885302	7.908096	46556	STARLINK-1676
99	08:45:04.088	8.751136	156116	0.052303	0.893159	557.423067	6.841589	7.890533	46556	STARLINK-1676
100	08:45:04.296	8.751193	156116	0.048725	0.886548	557.668763	6.851105	8.181979	46556	STARLINK-1676
101	08:45:04.340	8.751206	155980	0.044037	0.846104	557.431058	6.814244	8.206743	46556	STARLINK-1676
102	08:45:04.886	8.751357	156116	0.042390	0.842287	557.376442	6.769086	8.610871	46556	STARLINK-1676
103	08:45:05.198	8.751444	155980	0.077846	0.944432	557.253184	6.837430	8.831219	46556	STARLINK-1676
104	08:45:05.876	8.751632	155980	0.044347	0.797577	557.046947	6.714448	9.265624	46556	STARLINK-1676
105	08:45:05.923	8.751645	155980	0.042378	0.801468	556.997815	6.732258	9.148856	46556	STARLINK-1676
106	08:45:06.198	8.751722	156116	0.040716	0.772308	556.864832	6.725430	9.344145	46556	STARLINK-1676
107	08:45:06.397	8.751777	155980	0.044633	0.779394	557.008124	6.693968	9.606148	46556	STARLINK-1676
108	08:45:06.734	8.751871	155980	0.076957	0.916951	557.051076	6.755423	9.821377	46556	STARLINK-1676
109	08:45:07.135	8.751982	155980	0.052411	0.826042	557.018021	6.673492	10.074964	46556	STARLINK-1676
110	08:45:07.422	8.752062	155980	0.055187	0.837634	556.904177	6.659844	10.248445	46556	STARLINK-1676
111	08:45:07.464	8.752073	156116	0.064670	0.880094	556.976475	6.732258	10.141996	46556	STARLINK-1676
112	08:45:07.663	8.752129	156116	0.051564	0.814319	557.033384	6.646198	10.312905	46556	STARLINK-1676
113	08:45:08.007	8.752224	155980	0.057987	0.817079	556.984927	6.632555	10.509261	46556	STARLINK-1676
